t,q0,q1,q2,q3,b1,b2,b3
0.5299999714,0.9999991059,-0.0010384014,-0.0008442136,0.0004081348,0.0006579931,0.0002443618,-0.0003258864
0.5400000215,0.9999935627,0.0012477726,0.0019133542,-0.0027761462,0.0003738346,-0.0000960829,0.0000701278
0.5500000119,1.0000000000,0.0000005933,0.0002475513,-0.0002343901,0.0005278136,0.0001107060,-0.0002425453
0.5600000024,0.9999997616,-0.0002671582,-0.0005600247,-0.0004192189,0.0005598242,0.0002112084,-0.0002199370
0.5699999928,0.9999986887,-0.0010093222,-0.0004631212,0.0012384263,0.0006503477,0.0001993339,-0.0004239077
0.5799999833,0.9999995828,-0.0007619854,-0.0002549527,0.0004714568,0.0006207232,0.0001758725,-0.0003285318
0.5899999738,0.9999995828,-0.0005776167,0.0004153460,0.0005460214,0.0005990955,0.0000947527,-0.0003380362
0.6000000238,0.9999963045,0.0022006568,-0.0003790514,0.0015591774,0.0002557514,0.0001928784,-0.0004618308
0.6100000143,0.9999880791,0.0046674535,0.0010011697,0.0010680073,-0.0000490755,0.0000242632,-0.0003988172
0.6200000048,0.9999762177,0.0066157766,0.0019397751,-0.0001766746,-0.0002900634,-0.0000906162,-0.0002426527
0.6299999952,0.9999754429,0.0068355892,0.0014010299,0.0006480445,-0.0003155046,-0.0000246094,-0.0003434852
0.6399999857,0.9999737144,0.0070709037,0.0013827624,0.0008072552,-0.0003448711,-0.0000212698,-0.0003632128
0.6499999762,0.9999632239,0.0082252333,0.0023008990,-0.0007996759,-0.0004885688,-0.0001315412,-0.0001644663
0.6600000262,0.9999598265,0.0085812602,0.0024440954,-0.0009054743,-0.0005322573,-0.0001471533,-0.0001516965
0.6700000167,0.9999539852,0.0090742940,0.0027920774,-0.0013957170,-0.0005923187,-0.0001881203,-0.0000900504
0.6800000072,0.9999528527,0.0091945855,0.0028455167,-0.0012903551,-0.0006057777,-0.0001934794,-0.0001032809
0.6899999976,0.9999597073,0.0086772004,0.0022613264,-0.0003869295,-0.0005434711,-0.0001231012,-0.0002127838
0.6999999881,0.9999812841,0.0046552131,0.0018480587,-0.0035194892,-0.0000483622,-0.0000688421,0.0001749893
0.7099999785,0.9999969602,0.0009477277,0.0003512468,-0.0022621471,0.0004072977,0.0001185878,0.0000187141
0.7200000286,0.9999957085,-0.0001808493,0.0015537483,-0.0024964428,0.0005451835,-0.0000282206,0.0000480077
0.7300000191,0.9999960065,-0.0011542736,0.0018738577,-0.0018254763,0.0006651789,-0.0000670736,-0.0000318113
0.7400000095,0.9999957085,-0.0027133476,-0.0003686376,-0.0010480682,0.0008564213,0.0002101293,-0.0001273227
0.7500000000,0.9999945760,-0.0031271803,-0.0002416303,-0.0010093820,0.0009082352,0.0001965663,-0.0001334913
0.7599999905,0.9999942780,-0.0029946978,0.0001023151,-0.0015968439,0.0008924736,0.0001535292,-0.0000615787
0.7699999809,0.9999908805,-0.0041230228,-0.0011524271,-0.0001063464,0.0010303414,0.0003089286,-0.0002435519
0.7799999714,0.9999896884,-0.0043924996,-0.0011524555,0.0000198012,0.0010636519,0.0003087091,-0.0002589259
0.7900000215,0.9999915957,-0.0040928954,-0.0001692838,-0.0002112823,0.0010251688,0.0001880219,-0.0002291977
0.8000000119,0.9999973178,-0.0018002498,-0.0006114873,-0.0013721469,0.0007420913,0.0002413560,-0.0000869505
0.8100000024,0.9999955297,-0.0015735733,-0.0024519919,-0.0007410580,0.0007122941,0.0004692269,-0.0001651228
0.8199999928,0.9999961853,-0.0001111802,-0.0015221173,-0.0023336182,0.0005341864,0.0003540038,0.0000303866
0.8299999833,0.9999977946,-0.0003228891,-0.0017833686,-0.0010457879,0.0005584885,0.0003847177,-0.0001263891
