t,q0,q1,q2,q3,b1,b2,b3
0.5300000000,0.9999990212,-0.0010384138,-0.0008442038,0.0004081420,0.0006580010,0.0002444190,-0.0003258510
0.5400000000,0.9999935376,0.0012477503,0.0019133675,-0.0027761379,0.0003738440,-0.0000960256,0.0000701624
0.5500000000,0.9999999419,0.0000005694,0.0002475675,-0.0002343819,0.0005278231,0.0001107626,-0.0002425102
0.5600000000,0.9999997196,-0.0002671766,-0.0005600224,-0.0004192176,0.0005598330,0.0002112665,-0.0002199012
0.5700000000,0.9999986165,-0.0010093389,-0.0004631172,0.0012384296,0.0006503561,0.0001993918,-0.0004238717
0.5800000000,0.9999995660,-0.0007619941,-0.0002549436,0.0004714685,0.0006207306,0.0001759297,-0.0003284970
0.5900000000,0.9999995978,-0.0005776362,0.0004153472,0.0005460203,0.0005991042,0.0000948111,-0.0003379999
0.6000000000,0.9999962912,0.0022006397,-0.0003790564,0.0015591736,0.0002557605,0.0001929373,-0.0004617938
0.6100000000,0.9999880360,0.0046674359,0.0010011643,0.0010680031,-0.0000490658,0.0000243223,-0.0003987803
0.6200000000,0.9999762186,0.0066157577,0.0019397724,-0.0001766765,-0.0002900531,-0.0000905573,-0.0002426165
0.6300000000,0.9999754457,0.0068355718,0.0014010403,0.0006480536,-0.0003154945,-0.0000245522,-0.0003434501
0.6400000000,0.9999737191,0.0070708853,0.0013827679,0.0008072595,-0.0003448608,-0.0000212121,-0.0003631771
0.6500000000,0.9999632053,0.0082252280,0.0023008990,-0.0007996684,-0.0004885599,-0.0001314827,-0.0001644314
0.6600000000,0.9999597834,0.0085812603,0.0024440939,-0.0009054682,-0.0005322488,-0.0001470946,-0.0001516615
0.6700000000,0.9999539558,0.0090742811,0.0027920704,-0.0013957232,-0.0005923085,-0.0001880609,-0.0000900140
0.6800000000,0.9999528477,0.0091945794,0.0028455199,-0.0012903501,-0.0006057682,-0.0001934213,-0.0001032459
0.6900000000,0.9999597206,0.0086772053,0.0022613200,-0.0003869269,-0.0005434631,-0.0001230420,-0.0002127482
0.7000000000,0.9999812632,0.0046552275,0.0018480577,-0.0035194795,-0.0000483568,-0.0000687837,0.0001750228
0.7100000000,0.9999969306,0.0009477508,0.0003512534,-0.0022621298,0.0004073010,0.0001186448,0.0000187471
0.7200000000,0.9999956605,-0.0001808083,0.0015537526,-0.0024964230,0.0005451843,-0.0000281631,0.0000480403
0.7300000000,0.9999959120,-0.0011542316,0.0018738623,-0.0018254615,0.0006651792,-0.0000670160,-0.0000317779
0.7400000000,0.9999957018,-0.0027133193,-0.0003686344,-0.0010480665,0.0008564230,0.0002101864,-0.0001272875
0.7500000000,0.9999945718,-0.0031271487,-0.0002416313,-0.0010093819,0.0009082363,0.0001966240,-0.0001334558
0.7600000000,0.9999942358,-0.0029946755,0.0001023220,-0.0015968418,0.0008924760,0.0001535860,-0.0000615438
0.7700000000,0.9999908307,-0.0041230011,-0.0011524264,-0.0001063493,0.0010303434,0.0003089858,-0.0002435159
